course_name,credits,day,start_time,duration,room,lecturer
63-501 - Atmospheric Dynamics,6,Tuesday,9:15,90,A,Nadjelka
63-501a - Atmospheric Dynamics Exercise,0,Wednesday,14:15,90,F,Frank
63-503 - Radiation and Climate,6,Tuesday,12:15,90,B,Stephan
63-503a - Radiation and Climate Exercise,0,Thursday,10:15,90,G,Ravi
63-510 - Introduction to Atmospheric Physics,6,Wednesday,9:15,90,C,Juan
63-520 - Geophysical Wave Lab,6,Monday,11:15,90,D,Sergiey
63-520 - Geophysical Wave Lab Exercise,0,Friday,12:15,90,H,Sergiey
63-580 - Advanced Practical Python Development,6,Monday,17:15,90,E,Aaron
63-511 - Urban Climatology,3,Thursday,8:30,90,I,David
63-534 - Middle Atmospheric Dynamics,3,Friday,8:30,90,J,Victor
